algName,condID,nItems,capacity,oracleCalls,obj,cost,nItems,runTime
Sieve+Max_1e-08_1_0.01,7,4039,8.6,2954,0.003961376578,8.105263158,6,0.0018459
SieveOrMax_1e-08_1_0.01,7,4039,8.6,2954,0.003961376578,8.105263158,6,0.001299
BranchingMRT_1e-08_1_0.01,7,4039,8.6,20894960,0.003961376578,8.368421053,1,8.668422
Distributed_1e-08_1_0.01,8,4039,9.6,11150,0.004704134687,9.526315789,9,0.0075914
Greedy_0,8,4039,9.6,7671,0.004456548651,9,9,0.004586
Greedy+Max_0,8,4039,9.6,7671,0.004704134687,9.578947368,8,0.0041914
GreedyOrMax_0,8,4039,9.6,7671,0.004456548651,9,9,0.0043102
Greedy_1,8,4039,9.6,3235768,0.004704134687,9.526315789,9,2.148265
Sieve_1e-08_1_0.01,8,4039,9.6,1719,0.004208962615,8.631578947,6,0.0012597
Sieve+Max_1e-08_1_0.01,8,4039,9.6,3272,0.004456548651,9.421052632,1,0.0030728
SieveOrMax_1e-08_1_0.01,8,4039,9.6,3272,0.004456548651,9.421052632,1,0.001543
BranchingMRT_1e-08_1_0.01,8,4039,9.6,26926384,0.004456548651,9.421052632,1,12.106077
